keyword,count
nature,17678
outdoors,16496
plant,12143
landscape,8416
scenery,8279
tree,8076
animal,7940
water,7823
sky,7082
mountain,6619
land,5756
sea,5540
ocean,5371
building,4895
vegetation,4597
light,4262
person,4110
flower,4091
snow,4067
blossom,3954
human,3905
mountain range,3887
ice,3886
weather,3823
coast,3675
mammal,3430
forest,3364
road,3313
wilderness,3310
sunset,3304
bird,3111
fir,3104
flora,3073
grass,3070
abies,3023
flare,3010
conifer,3001
leisure activities,2923
countryside,2913
shoreline,2893
sunlight,2851
green,2741
adventure,2710
cloud,2696
sunrise,2691
rock,2658
wildlife,2630
architecture,2629
beach,2599
cliff,2593
dusk,2588
night,2584
dawn,2554
plateau,2512
red sky,2467
promontory,2398
clothing,2389
winter,2348
sand,2334
aerial view,2301
apparel,2266
leaf,2195
peak,2139
glacier,2111
horizon,2107
soil,2082
trees,2071
field,2035
transportation,2015
astronomy,1971
lake,1968
blue,1961
food,1929
vehicle,1919
petal,1913
space,1907
ground,1904
outer space,1884
pet,1874
river,1871
housing,1865
universe,1840
art,1821
slope,1781
sun,1753
silhouette,1732
wallpaper,1714
urban,1705
fog,1677
gravel,1655
dirt road,1613
clouds,1567
mountains,1563
photography,1558
tower,1540
grassland,1528
pine,1514
panoramic,1508
jungle,1498
sea life,1498
