query_group,mode,query_mode_count,precision_at_10,avg_relevance,dcg_at_10,ndcg_at_10,mrr_at_10
combined,qdrant_keyword,6,1.0,1.95,13.23870546974756,0.9923754080404166,1.0
combined,qdrant_keyword_object,5,1.0,1.98,13.430678014265037,0.9935358163681751,1.0
combined,qdrant_object,5,1.0,1.98,13.430678014265037,0.9935358163681751,1.0
combined,qdrant_object_rerank,6,1.0,1.9833333333333334,13.46401134759837,0.9946131803068127,1.0
combined,qdrant_semantic,6,1.0,1.8666666666666665,12.637420699162696,0.9903002803229245,1.0
object_like,qdrant_keyword,6,0.9833333333333334,1.8833333333333335,12.856628322088861,0.9899831040483441,1.0
object_like,qdrant_keyword_object,5,0.9800000000000001,1.8800000000000001,12.86041794245171,0.9910933370190878,1.0
object_like,qdrant_object,5,0.9800000000000001,1.8800000000000001,12.855631874713273,0.9898541339067484,1.0
object_like,qdrant_object_rerank,6,0.9833333333333334,1.9000000000000001,12.988794621087266,0.9925777808492398,1.0
object_like,qdrant_semantic,6,0.9333333333333332,1.8,12.365641218285106,0.9769580230090457,1.0
