system,metric,mean,ci95_low,ci95_high,bootstrap_samples
faiss_baseline,precision_at_5,0.9285714285714287,0.8785714285714287,0.9714285714285714,1000
faiss_baseline,precision_at_10,0.9214285714285714,0.8713392857142856,0.9607142857142857,1000
faiss_baseline,ndcg_at_5,0.8135915271030333,0.7407496216435728,0.8847455518295556,1000
faiss_baseline,ndcg_at_10,0.9134092239054175,0.8738329140879013,0.9473857755270547,1000
faiss_baseline,mrr,0.9464285714285714,0.875,1.0,1000
faiss_baseline,success_at_1,0.8928571428571429,0.75,1.0,1000
faiss_baseline,success_at_5,1.0,1.0,1.0,1000
faiss_baseline,mean_relevance_at_10,1.6464285714285716,1.525,1.7678571428571426,1000
faiss_style_rerank,precision_at_5,0.9071428571428573,0.8498214285714286,0.9571428571428571,1000
faiss_style_rerank,precision_at_10,0.8857142857142858,0.8213392857142856,0.9392857142857142,1000
faiss_style_rerank,ndcg_at_5,0.8217913508484865,0.7549129957626851,0.8892479591202701,1000
faiss_style_rerank,ndcg_at_10,0.9155253734472267,0.875715535411647,0.9534696961238055,1000
faiss_style_rerank,mrr,0.9404761904761905,0.8630952380952381,1.0,1000
faiss_style_rerank,success_at_1,0.8928571428571429,0.7857142857142857,1.0,1000
faiss_style_rerank,success_at_5,1.0,1.0,1.0,1000
faiss_style_rerank,mean_relevance_at_10,1.5857142857142859,1.4391964285714285,1.721517857142857,1000
qdrant_filtered,precision_at_5,0.9642857142857143,0.9285714285714286,0.985892857142857,1000
qdrant_filtered,precision_at_10,0.9464285714285714,0.8892857142857142,0.9857142857142858,1000
qdrant_filtered,ndcg_at_5,0.8916497623411636,0.821173304089363,0.9467858472999574,1000
qdrant_filtered,ndcg_at_10,0.9481193874704553,0.9149415655151955,0.9759301863004722,1000
qdrant_filtered,mrr,0.9821428571428571,0.9464285714285714,1.0,1000
qdrant_filtered,success_at_1,0.9642857142857143,0.8928571428571429,1.0,1000
qdrant_filtered,success_at_5,1.0,1.0,1.0,1000
qdrant_filtered,mean_relevance_at_10,1.7214285714285715,1.589285714285714,1.8249999999999997,1000
qdrant_object_rerank,precision_at_5,0.9500000000000001,0.9071428571428573,0.9857142857142858,1000
qdrant_object_rerank,precision_at_10,0.9464285714285714,0.8928571428571429,0.9821428571428571,1000
qdrant_object_rerank,ndcg_at_5,0.8699081003607025,0.8000937113629257,0.9299006002020854,1000
qdrant_object_rerank,ndcg_at_10,0.9392643405249684,0.9062421582099409,0.9710634038961212,1000
qdrant_object_rerank,mrr,0.9821428571428571,0.9285714285714286,1.0,1000
qdrant_object_rerank,success_at_1,0.9642857142857143,0.8928571428571429,1.0,1000
qdrant_object_rerank,success_at_5,1.0,1.0,1.0,1000
qdrant_object_rerank,mean_relevance_at_10,1.717857142857143,1.592767857142857,1.839285714285714,1000
qdrant_semantic,precision_at_5,0.9285714285714287,0.8785714285714287,0.9714285714285714,1000
qdrant_semantic,precision_at_10,0.9214285714285714,0.875,0.9642857142857143,1000
qdrant_semantic,ndcg_at_5,0.8135915271030333,0.7382925460967094,0.8876767731569036,1000
qdrant_semantic,ndcg_at_10,0.9134092239054175,0.8749902384677929,0.9458219100219507,1000
qdrant_semantic,mrr,0.9464285714285714,0.875,1.0,1000
qdrant_semantic,success_at_1,0.8928571428571429,0.75,1.0,1000
qdrant_semantic,success_at_5,1.0,1.0,1.0,1000
qdrant_semantic,mean_relevance_at_10,1.6464285714285716,1.5176785714285712,1.7607142857142857,1000
