system,metric,mean,std,min,max
faiss_baseline,precision_at_5,0.9285714285714287,0.12429696476477392,0.6,1.0
faiss_baseline,precision_at_10,0.9214285714285714,0.1286889527537098,0.5,1.0
faiss_baseline,ndcg_at_5,0.8135915271030333,0.20076062177248352,0.4273013932087828,1.0
faiss_baseline,ndcg_at_10,0.9134092239054175,0.10097810443168061,0.6951120655958085,1.0
faiss_baseline,mrr,0.9464285714285714,0.157485197087178,0.5,1.0
faiss_baseline,success_at_1,0.8928571428571429,0.314970394174356,0.0,1.0
faiss_baseline,success_at_5,1.0,0.0,1.0,1.0
faiss_baseline,mean_relevance_at_10,1.6464285714285716,0.33497611065416993,0.9,2.0
faiss_style_rerank,precision_at_5,0.9071428571428573,0.1488936270271907,0.4,1.0
faiss_style_rerank,precision_at_10,0.8857142857142858,0.16035674514745463,0.4,1.0
faiss_style_rerank,ndcg_at_5,0.8217913508484865,0.19561559362686848,0.3077256276560777,1.0
faiss_style_rerank,ndcg_at_10,0.9155253734472267,0.11306821625061843,0.5239709381440691,1.0
faiss_style_rerank,mrr,0.9404761904761905,0.17693251436196789,0.3333333333333333,1.0
faiss_style_rerank,success_at_1,0.8928571428571429,0.314970394174356,0.0,1.0
faiss_style_rerank,success_at_5,1.0,0.0,1.0,1.0
faiss_style_rerank,mean_relevance_at_10,1.5857142857142859,0.38172540616821105,0.6,2.0
qdrant_filtered,precision_at_5,0.9642857142857143,0.07800420555749593,0.8,1.0
qdrant_filtered,precision_at_10,0.9464285714285714,0.1261455445614248,0.4,1.0
qdrant_filtered,ndcg_at_5,0.8916497623411636,0.16793537091543037,0.45649691033014544,1.0
qdrant_filtered,ndcg_at_10,0.9481193874704553,0.08403112583911843,0.6951120655958085,1.0
qdrant_filtered,mrr,0.9821428571428571,0.09449111825230683,0.5,1.0
qdrant_filtered,success_at_1,0.9642857142857143,0.18898223650461365,0.0,1.0
qdrant_filtered,success_at_5,1.0,0.0,1.0,1.0
qdrant_filtered,mean_relevance_at_10,1.7214285714285715,0.3281340544228192,0.7,2.0
qdrant_object_rerank,precision_at_5,0.9500000000000001,0.10363754503432017,0.6,1.0
qdrant_object_rerank,precision_at_10,0.9464285714285714,0.1261455445614248,0.4,1.0
qdrant_object_rerank,ndcg_at_5,0.8699081003607025,0.18086261476553528,0.45649691033014544,1.0
qdrant_object_rerank,ndcg_at_10,0.9392643405249684,0.09189383125104973,0.6951120655958085,1.0
qdrant_object_rerank,mrr,0.9821428571428571,0.09449111825230683,0.5,1.0
qdrant_object_rerank,success_at_1,0.9642857142857143,0.18898223650461365,0.0,1.0
qdrant_object_rerank,success_at_5,1.0,0.0,1.0,1.0
qdrant_object_rerank,mean_relevance_at_10,1.717857142857143,0.33890189930789316,0.7,2.0
qdrant_semantic,precision_at_5,0.9285714285714287,0.12429696476477392,0.6,1.0
qdrant_semantic,precision_at_10,0.9214285714285714,0.1286889527537098,0.5,1.0
qdrant_semantic,ndcg_at_5,0.8135915271030333,0.20076062177248352,0.4273013932087828,1.0
qdrant_semantic,ndcg_at_10,0.9134092239054175,0.10097810443168061,0.6951120655958085,1.0
qdrant_semantic,mrr,0.9464285714285714,0.157485197087178,0.5,1.0
qdrant_semantic,success_at_1,0.8928571428571429,0.314970394174356,0.0,1.0
qdrant_semantic,success_at_5,1.0,0.0,1.0,1.0
qdrant_semantic,mean_relevance_at_10,1.6464285714285716,0.33497611065416993,0.9,2.0
